,tv_show_name,tv_show_id,imdb_rating,votes,tv_show_description,runtime,genre,star_cast,start_year,end_year
38,This Is Us,tt5555260,8.7,70796,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",45,"Comedy, Drama, Romance","['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",2016,
39,Stranger Things,tt4574334,8.9,555061,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.",51,"Drama, Fantasy, Horror","['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",2016,
40,The Sopranos,tt0141842,9.2,242929,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,"Crime, Drama","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",1999,2007
41,Law & Order: Special Victims Unit,tt0203259,8.0,66368,"The Special Victims Unit, a specially trained squad of detectives in the NYPD, investigate sexually related crimes.",60,"Crime, Drama, Mystery","['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']",1999,
42,Magnum P.I.,tt7942796,5.2,4076,An ex-Navy SEAL returns home from Afghanistan and uses his military skills to become a private investigator in Hawaii.,43,"Action, Adventure, Crime","['Jay Hernandez', 'Perdita Weeks', 'Zachary Knighton', 'Stephen Hill']",2018,
43,Future Man,tt4975856,7.9,13182,"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity.",30,"Action, Adventure, Comedy","['Eliza Coupe', 'Josh Hutcherson', 'Derek Wilson', 'Glenne Headly']",2017,
44,Deadly Class,tt5924572,8.2,1960,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.",60,"Action, Crime, Drama","['Benedict Wong', 'Benjamin Wadsworth', 'Lana Condor', 'María Gabriela de Faría']",2018,
45,A Discovery of Witches,tt2177461,8.2,13571,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",60,"Drama, Fantasy, Romance","['Matthew Goode', 'Teresa Palmer', 'Valarie Pettiford', 'Malin Buska']",2018,
46,Breaking Bad,tt0903747,9.5,1154367,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,49,"Crime, Drama, Thriller","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",2008,2013
47,The Last Kingdom,tt4179452,8.3,48734,"The year is 872, and many of the separate kingdoms of what we now know as England have fallen to the invading Danes, leaving the great kingdom of Wessex standing alone and defiant under the...                See full summary »",60,"Action, Drama, History","['Alexander Dreymon', 'Ian Hart', 'David Dawson', 'Eliza Butterworth']",2015,
48,The Good Doctor,tt6470478,8.3,40004,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",41,Drama,"['Freddie Highmore', 'Nicholas Gonzalez', 'Antonia Thomas', 'Tamlyn Tomita']",2017,
